file_name,log_wave_min,log_wave_max,diff_log_wave_min,diff_log_wave_med,diff_log_wave_max
fm25at9250g30k2odfnew.fl.dat.txt,2.4095950193968156,6.204119982655925,0.0008367911681363971,0.0018324688870547945,0.30102999566398125
fm20at9250g30k2odfnew.fl.dat.txt,2.4216039268698313,6.204119982655925,0.0008367911681363971,0.0018324688870547945,0.30102999566398125
fm15at9250g30k2odfnew.fl.dat.txt,2.4369573306694496,6.204119982655925,0.0008367911681363971,0.0018247694152480065,0.30102999566398125
fm10at9250g30k2odfnew.fl.dat.txt,2.4533183400470375,6.204119982655925,0.0008367911681363971,0.0018247694152480065,0.30102999566398125
fm05at9250g30k2odfnew.fl.dat.txt,2.4712917110589387,6.204119982655925,0.0008367911681363971,0.0018247694152480065,0.30102999566398125
fp00at9250g30k2odfnew.fl.dat.txt,2.4885507165004443,6.204119982655925,0.0008367911681363971,0.0018247694152475624,0.30102999566398125
fp02at9250g30k2odfnew.fl.dat.txt,2.4885507165004443,6.204119982655925,0.0008367911681363971,0.0018247694152475624,0.30102999566398125
fp05at9250g30k2odfnew.fl.dat.txt,2.5024271199844326,6.204119982655925,0.0008367911681363971,0.0018247694152473404,0.30102999566398125
fm40at9250g35k2odfnew.fl.dat.txt,2.16790781000148,6.204119982655925,0.0008367911681363971,0.0018480644138128,0.30102999566398125
fm25at9250g35k2odfnew.fl.dat.txt,2.402089350572097,6.204119982655925,0.0008367911681363971,0.0018324688870547945,0.30102999566398125
fm20at9250g35k2odfnew.fl.dat.txt,2.4149733479708178,6.204119982655925,0.0008367911681363971,0.0018324688870547945,0.30102999566398125
fm15at9250g35k2odfnew.fl.dat.txt,2.4369573306694496,6.204119982655925,0.0008367911681363971,0.0018247694152480065,0.30102999566398125
fm10at9250g35k2odfnew.fl.dat.txt,2.4533183400470375,6.204119982655925,0.0008367911681363971,0.0018247694152480065,0.30102999566398125
fm05at9250g35k2odfnew.fl.dat.txt,2.4712917110589387,6.204119982655925,0.0008367911681363971,0.0018247694152480065,0.30102999566398125
