Teff,logg,Mbol,BC,U,B,V,R,I,J,H,Ks,Y,J,H,K,W1,W2,W3,W4,S3.6,S4.5,S5.8,S8.0,u,g,r,i,z,g,r,i,z,y,G2,G2_BP,G2_RP,G3,G3_BP,G3_RP,FUV,NUV,Age,logL,mass,spectral_type
4000.0,7.146,14.859,-0.52,17.624,16.753,15.379,14.645,13.952,13.289,13.239,13.23,13.552,13.244,13.211,13.199,12.76,12.588,12.25,12.116,12.71,12.597,12.492,12.36,18.489,16.099,14.936,14.5,14.265,15.895,14.925,14.491,14.289,14.198,14.901,15.613,14.104,14.922,15.622,14.115,39.595,24.786,2788000000.0,-4.0236,0.2,DA
4250.0,7.142,14.586,-0.485,16.983,16.3,15.071,14.396,13.744,13.072,12.854,12.815,13.356,13.027,12.83,12.784,12.468,12.319,12.088,12.027,12.429,12.328,12.24,12.147,17.841,15.712,14.673,14.279,14.069,15.531,14.663,14.271,14.092,14.008,14.645,15.294,13.888,14.666,15.305,13.899,35.459,23.594,2449000000.0,-3.9144000000000005,0.2,DA
4500.0,7.137,14.325,-0.417,16.334,15.83,14.741,14.125,13.521,12.89,12.568,12.499,13.166,12.846,12.55,12.467,12.239,12.122,11.979,11.948,12.209,12.128,12.066,12.011,17.185,15.304,14.388,14.041,13.862,15.146,14.379,14.034,13.881,13.812,14.367,14.95,13.654,14.387,14.962,13.667,31.446,22.498,2126000000.0,-3.8099999999999996,0.2,DA
4750.0,7.127,14.064,-0.34,15.702,15.367,14.405,13.846,13.289,12.712,12.355,12.254,12.971,12.669,12.34,12.222,12.059,11.975,11.885,11.867,12.038,11.979,11.939,11.904,16.547,14.896,14.093,13.793,13.646,14.758,14.086,13.787,13.66,13.607,14.077,14.596,13.411,14.097,14.61,13.425,29.136,21.448,1751000000.0,-3.7055999999999996,0.2,DA
5000.0,7.111,13.803,-0.268,15.08,14.915,14.071,13.564,13.052,12.53,12.178,12.072,12.77,12.488,12.163,12.04,11.915,11.853,11.789,11.778,11.9,11.856,11.826,11.802,15.918,14.496,13.799,13.542,13.426,14.376,13.793,13.537,13.436,13.398,13.783,14.242,13.165,13.803,14.258,13.179,27.898,20.464,1387000000.0,-3.6012,0.2,DA
5250.0,7.093,13.546,-0.212,14.486,14.496,13.758,13.299,12.828,12.357,12.021,11.926,12.58,12.315,12.006,11.894,11.793,11.743,11.696,11.692,11.781,11.745,11.723,11.705,15.318,14.122,13.522,13.305,13.216,14.02,13.517,13.301,13.223,13.2,13.504,13.907,12.932,13.523,13.926,12.947,26.833,19.539,1141000000.0,-3.4983999999999993,0.2,DA
5500.0,7.075,13.3,-0.175,13.954,14.125,13.475,13.058,12.625,12.196,11.878,11.797,12.405,12.156,11.862,11.766,11.684,11.644,11.613,11.612,11.674,11.646,11.629,11.617,14.783,13.788,13.271,13.09,13.026,13.7,13.267,13.087,13.029,13.018,13.249,13.601,12.72,13.268,13.624,12.735,25.891,18.608,982700000.0,-3.4,0.2,DA
6000.0,7.047,12.85,-0.143,13.128,13.511,12.993,12.647,12.279,11.923,11.637,11.585,12.108,11.883,11.619,11.556,11.505,11.484,11.479,11.474,11.5,11.485,11.479,11.478,13.956,13.225,12.843,12.724,12.702,13.158,12.841,12.722,12.7,12.71,12.81,13.081,12.359,12.828,13.109,12.375,24.421,16.857,750400000.0,-3.22,0.2,DA
6500.0,7.03,12.46,-0.141,12.534,13.028,12.6,12.312,11.998,11.707,11.457,11.429,11.869,11.669,11.439,11.4,11.374,11.367,11.371,11.357,11.371,11.367,11.368,11.372,13.363,12.774,12.494,12.425,12.439,12.722,12.492,12.425,12.432,12.461,12.45,12.66,12.064,12.468,12.693,12.082,22.911,15.557,584000000.0,-3.0640000000000005,0.2,DA
7000.0,7.014,12.098,-0.155,12.063,12.613,12.252,12.01,11.742,11.513,11.302,11.291,11.651,11.477,11.282,11.262,11.253,11.255,11.26,11.243,11.253,11.255,11.259,11.263,12.893,12.382,12.181,12.155,12.2,12.34,12.18,12.156,12.189,12.234,12.127,12.292,11.797,12.145,12.327,11.816,21.304,14.608,451700000.0,-2.9192000000000005,0.2,DA
7500.0,6.997,11.757,-0.176,11.671,12.242,11.933,11.731,11.505,11.333,11.16,11.163,11.449,11.299,11.139,11.134,11.137,11.145,11.149,11.133,11.138,11.144,11.149,11.152,12.504,12.028,11.893,11.905,11.979,11.994,11.893,11.906,11.964,12.024,11.83,11.958,11.55,11.848,11.995,11.569,19.556,13.874,343400000.0,-2.7828,0.2,DA
8000.0,6.98,11.433,-0.2,11.336,11.901,11.633,11.469,11.282,11.163,11.027,11.041,11.257,11.131,11.005,11.012,11.023,11.034,11.038,11.025,11.025,11.033,11.039,11.041,12.172,11.7,11.622,11.669,11.771,11.672,11.623,11.671,11.752,11.827,11.551,11.65,11.317,11.569,11.687,11.337,18.001,13.279,253500000.0,-2.6532,0.2,DA
8500.0,6.961,11.124,-0.221,11.04,11.582,11.345,11.217,11.069,11.0,10.899,10.922,11.073,10.971,10.876,10.892,10.908,10.921,10.927,10.916,10.911,10.921,10.926,10.929,11.881,11.389,11.363,11.442,11.572,11.366,11.364,11.446,11.55,11.639,11.284,11.357,11.095,11.302,11.395,11.115,16.751,12.778,178700000.0,-2.5296000000000003,0.2,DA
9000.0,6.941,10.824,-0.241,10.77,11.277,11.066,10.974,10.863,10.841,10.774,10.803,10.893,10.815,10.75,10.772,10.791,10.806,10.813,10.805,10.794,10.806,10.811,10.814,11.616,11.091,11.113,11.224,11.381,11.071,11.114,11.228,11.356,11.457,11.026,11.077,10.88,11.044,11.114,10.901,15.723,12.338,116500000.0,-2.4096,0.2,DA
9500.0,6.919,10.536,-0.265,10.52,10.991,10.801,10.744,10.67,10.689,10.655,10.687,10.722,10.666,10.63,10.656,10.675,10.689,10.699,10.695,10.678,10.69,10.695,10.698,11.37,10.81,10.876,11.018,11.202,10.792,10.877,11.023,11.175,11.286,10.782,10.812,10.678,10.8,10.849,10.7,14.777,11.941,67390000.0,-2.2944,0.2,DA
10000.0,6.899,10.262,-0.305,10.294,10.735,10.567,10.542,10.503,10.556,10.548,10.582,10.571,10.535,10.522,10.551,10.567,10.58,10.592,10.592,10.57,10.581,10.585,10.59,11.148,10.559,10.668,10.839,11.046,10.544,10.669,10.845,11.017,11.135,10.565,10.577,10.502,10.583,10.613,10.524,13.688,11.588,34700000.0,-2.1848,0.2,DA
10500.0,6.882,10.009,-0.374,10.105,10.528,10.383,10.384,10.373,10.452,10.462,10.496,10.455,10.432,10.436,10.465,10.479,10.491,10.504,10.508,10.481,10.492,10.496,10.501,10.961,10.357,10.505,10.701,10.926,10.345,10.506,10.708,10.895,11.019,10.392,10.388,10.365,10.411,10.424,10.388,12.654,11.288,18500000.0,-2.0836,0.2,DA
11000.0,6.87,9.775,-0.473,9.957,10.372,10.248,10.271,10.28,10.376,10.395,10.428,10.37,10.356,10.369,10.398,10.41,10.422,10.437,10.443,10.413,10.423,10.427,10.433,10.814,10.206,10.388,10.602,10.838,10.197,10.389,10.609,10.807,10.933,10.265,10.247,10.267,10.284,10.284,10.29,11.82,11.047,11010000.0,-1.9900000000000002,0.2,DA
11500.0,6.859,9.555,-0.588,9.828,10.244,10.143,10.181,10.204,10.312,10.336,10.369,10.3,10.292,10.31,10.339,10.351,10.363,10.38,10.388,10.354,10.364,10.369,10.375,10.685,10.085,10.295,10.523,10.765,10.079,10.296,10.53,10.733,10.861,10.163,10.134,10.187,10.182,10.171,10.21,11.231,10.845,6913000.0,-1.902,0.2,DA
12000.0,6.849,9.345,-0.691,9.683,10.115,10.036,10.086,10.122,10.244,10.273,10.308,10.225,10.224,10.247,10.278,10.293,10.306,10.325,10.334,10.296,10.307,10.313,10.32,10.54,9.962,10.197,10.438,10.686,9.96,10.198,10.445,10.654,10.785,10.057,10.017,10.101,10.076,10.055,10.124,10.86,10.64,4557000.0,-1.8180000000000003,0.2,DA
12500.0,6.839,9.144,-0.791,9.533,9.991,9.935,9.993,10.04,10.174,10.21,10.247,10.15,10.155,10.184,10.218,10.236,10.25,10.271,10.281,10.239,10.251,10.258,10.265,10.39,9.846,10.101,10.352,10.607,9.848,10.103,10.36,10.574,10.707,9.955,9.905,10.014,9.973,9.944,10.038,10.571,10.444,3138000.0,-1.7376,0.2,DA
13000.0,6.83,8.951,-0.891,9.388,9.877,9.842,9.905,9.961,10.108,10.149,10.189,10.079,10.089,10.123,10.16,10.181,10.196,10.219,10.23,10.184,10.197,10.204,10.213,10.245,9.74,10.012,10.271,10.531,9.745,10.014,10.279,10.497,10.633,9.859,9.8,9.932,9.877,9.84,9.956,10.32,10.259,2261000.0,-1.6604000000000003,0.2,DA
13500.0,6.822,8.767,-0.988,9.25,9.77,9.755,9.823,9.886,10.045,10.09,10.132,10.011,10.025,10.063,10.103,10.127,10.144,10.169,10.18,10.131,10.145,10.152,10.161,10.106,9.64,9.928,10.194,10.458,9.649,9.93,10.202,10.424,10.562,9.768,9.701,9.854,9.786,9.743,9.878,10.094,10.081,1695000.0,-1.5867999999999998,0.2,DA
14000.0,6.814,8.589,-1.083,9.116,9.669,9.672,9.744,9.814,9.984,10.033,10.078,9.945,9.964,10.006,10.049,10.075,10.093,10.12,10.132,10.079,10.094,10.102,10.112,9.973,9.546,9.847,10.12,10.388,9.557,9.85,10.128,10.353,10.494,9.682,9.607,9.779,9.7,9.65,9.803,9.885,9.911,1304000.0,-1.5156000000000003,0.2,DA
14500.0,6.806,8.417,-1.175,8.989,9.574,9.592,9.668,9.744,9.925,9.977,10.024,9.882,9.905,9.95,9.996,10.024,10.044,10.072,10.085,10.028,10.044,10.053,10.064,9.845,9.456,9.77,10.049,10.32,9.471,9.773,10.057,10.285,10.428,9.6,9.518,9.707,9.617,9.562,9.731,9.689,9.749,1026000.0,-1.4468,0.2,DA
15000.0,6.799,8.251,-1.265,8.867,9.483,9.516,9.595,9.676,9.867,9.923,9.972,9.821,9.847,9.896,9.944,9.975,9.995,10.025,10.04,9.979,9.995,10.005,10.016,9.722,9.371,9.696,9.98,10.254,9.388,9.698,9.988,10.218,10.365,9.521,9.432,9.637,9.538,9.477,9.662,9.503,9.594,819800.0,-1.3803999999999998,0.2,DA
15500.0,6.792,8.09,-1.352,8.749,9.396,9.442,9.524,9.61,9.811,9.87,9.921,9.762,9.791,9.843,9.893,9.927,9.948,9.98,9.995,9.931,9.948,9.959,9.97,9.604,9.289,9.624,9.912,10.191,9.308,9.627,9.921,10.154,10.303,9.445,9.349,9.57,9.461,9.395,9.594,9.327,9.445,663200.0,-1.316,0.2,DA
16000.0,6.784,7.935,-1.436,8.637,9.313,9.37,9.455,9.547,9.756,9.818,9.872,9.705,9.736,9.791,9.844,9.88,9.902,9.935,9.952,9.884,9.901,9.913,9.925,9.491,9.21,9.554,9.847,10.129,9.231,9.557,9.856,10.091,10.243,9.371,9.269,9.504,9.387,9.317,9.529,9.158,9.303,541200.0,-1.254,0.2,DA
16500.0,6.777,7.783,-1.517,8.529,9.232,9.301,9.389,9.484,9.703,9.767,9.823,9.648,9.682,9.74,9.795,9.833,9.856,9.891,9.909,9.838,9.856,9.868,9.881,9.382,9.134,9.487,9.784,10.068,9.157,9.49,9.792,10.03,10.185,9.299,9.191,9.44,9.315,9.24,9.465,8.997,9.166,444300.0,-1.1932000000000003,0.2,DA
17000.0,6.77,7.636,-1.597,8.424,9.154,9.233,9.324,9.423,9.65,9.717,9.775,9.594,9.63,9.69,9.748,9.788,9.812,9.849,9.867,9.793,9.811,9.824,9.838,9.277,9.06,9.421,9.722,10.009,9.084,9.424,9.73,9.971,10.127,9.229,9.115,9.377,9.245,9.166,9.402,8.842,9.034,366700.0,-1.1344,0.2,DA
20000.0,6.729,6.828,-2.028,7.864,8.725,8.856,8.961,9.083,9.353,9.433,9.503,9.284,9.333,9.405,9.476,9.528,9.558,9.607,9.636,9.535,9.557,9.574,9.592,8.713,8.651,9.054,9.375,9.678,8.685,9.057,9.385,9.637,9.807,8.842,8.698,9.029,8.857,8.756,9.055,8.02,8.334,127800.0,-0.8112000000000001,0.2,DA
25000.0,6.661,5.688,-2.607,7.085,8.099,8.295,8.42,8.571,8.895,8.995,9.081,8.81,8.875,8.966,9.055,9.126,9.167,9.24,9.278,9.135,9.166,9.191,9.217,7.931,8.051,8.506,8.855,9.178,8.095,8.511,8.864,9.132,9.319,8.267,8.084,8.507,8.28,8.151,8.533,6.913,7.382,0.0,-0.35519999999999996,0.2,DA
30000.0,6.589,4.715,-3.026,6.362,7.493,7.741,7.88,8.055,8.423,8.54,8.64,8.323,8.403,8.511,8.615,8.701,8.75,8.825,8.852,8.712,8.748,8.776,8.804,7.207,7.466,7.963,8.331,8.671,7.518,7.967,8.342,8.622,8.822,7.701,7.486,7.982,7.712,7.561,8.008,6.006,6.545,0.0,0.03399999999999999,0.2,DA
3250.0,7.163,15.804,-0.889,18.751,18.113,16.693,15.792,14.927,13.996,13.791,14.092,14.36,13.947,13.762,14.082,14.483,14.623,14.391,13.896,14.525,14.616,14.646,14.576,19.596,17.467,16.144,15.535,15.173,17.257,16.126,15.522,15.217,15.056,16.01,16.892,15.113,16.035,16.9,15.121,34.079,24.566,3882000000.0,-4.4016,0.2,DB
3500.0,7.162,15.479,-0.701,17.964,17.468,16.18,15.367,14.58,13.76,13.589,13.863,14.082,13.714,13.561,13.852,14.222,14.365,14.148,13.682,14.262,14.359,14.388,14.32,18.808,16.878,15.691,15.16,14.856,16.688,15.676,15.149,14.891,14.76,15.596,16.379,14.751,15.619,16.389,14.76,32.292,23.429,3397000000.0,-4.271599999999999,0.2,DB
3750.0,7.161,15.176,-0.588,17.351,16.959,15.763,15.009,14.274,13.532,13.365,13.604,13.825,13.487,13.338,13.592,13.922,14.057,13.855,13.42,13.959,14.051,14.078,14.013,18.193,16.407,15.315,14.837,14.571,16.232,15.301,14.826,14.601,14.491,15.242,15.959,14.436,15.264,15.97,14.446,30.854,22.539,2992000000.0,-4.1504,0.2,DB
4000.0,7.159,14.891,-0.434,16.652,16.395,15.325,14.653,13.994,13.354,13.213,13.434,13.611,13.311,13.185,13.421,13.732,13.853,13.653,13.236,13.767,13.848,13.867,13.802,17.492,15.893,14.934,14.531,14.32,15.738,14.923,14.522,14.342,14.26,14.888,15.513,14.14,14.909,15.527,14.152,29.304,21.521,2640000000.0,-4.0364,0.2,DB
4250.0,7.156,14.622,-0.334,16.081,15.93,14.956,14.346,13.744,13.18,13.04,13.235,13.41,13.139,13.014,13.221,13.507,13.616,13.425,13.022,13.538,13.611,13.627,13.565,16.919,15.467,14.608,14.262,14.091,15.327,14.6,14.255,14.107,14.047,14.578,15.135,13.878,14.598,15.15,13.89,27.999,20.684,2334000000.0,-3.9288,0.2,DB
4500.0,7.154,14.367,-0.258,15.567,15.512,14.625,14.069,13.519,13.02,12.874,13.034,13.228,12.98,12.849,13.019,13.281,13.379,13.191,12.8,13.31,13.375,13.386,13.324,16.403,15.083,14.315,14.019,13.884,14.957,14.308,14.013,13.896,13.854,14.295,14.793,13.641,14.315,14.81,13.654,26.789,19.921,2063000000.0,-3.8268,0.2,DB
4750.0,7.15,14.123,-0.201,15.106,15.135,14.323,13.815,13.31,12.868,12.711,12.828,13.057,12.828,12.688,12.811,13.05,13.132,12.947,12.567,13.075,13.129,13.135,13.074,15.94,14.736,14.048,13.795,13.692,14.622,14.043,13.791,13.699,13.674,14.034,14.48,13.421,14.053,14.499,13.436,25.708,19.236,1810000000.0,-3.7292,0.2,DB
5000.0,7.145,13.888,-0.157,14.684,14.789,14.045,13.579,13.115,12.724,12.56,12.629,12.896,12.685,12.537,12.61,12.818,12.889,12.705,12.335,12.84,12.887,12.888,12.828,15.517,14.416,13.8,13.587,13.512,14.313,13.796,13.583,13.515,13.505,13.789,14.19,13.216,13.808,14.211,13.231,24.714,18.61,1571000000.0,-3.6352,0.2,DB
5250.0,7.14,13.662,-0.126,14.292,14.468,13.788,13.359,12.932,12.586,12.418,12.439,12.744,12.549,12.397,12.417,12.583,12.644,12.459,12.113,12.603,12.642,12.639,12.578,15.124,14.12,13.57,13.392,13.343,14.026,13.567,13.389,13.342,13.345,13.559,13.919,13.025,13.578,13.941,13.041,23.773,18.02,1350000000.0,-3.544800000000001,0.2,DB
5500.0,7.132,13.442,-0.102,13.927,14.167,13.544,13.15,12.758,12.455,12.288,12.269,12.598,12.418,12.267,12.244,12.353,12.4,12.217,11.93,12.368,12.398,12.392,12.331,14.758,13.841,13.352,13.207,13.181,13.757,13.35,13.205,13.177,13.193,13.34,13.662,12.842,13.359,13.687,12.858,22.89,17.473,1149000000.0,-3.4568,0.2,DB
5750.0,7.124,13.229,-0.087,13.585,13.886,13.316,12.953,12.592,12.329,12.168,12.122,12.458,12.292,12.147,12.095,12.141,12.168,12.0,11.792,12.15,12.167,12.156,12.097,14.416,13.579,13.147,13.031,13.026,13.504,13.145,13.03,13.02,13.046,13.132,13.42,12.668,13.151,13.446,12.685,22.062,16.961,979300000.0,-3.3715999999999995,0.2,DB
6000.0,7.116,13.023,-0.077,13.269,13.623,13.1,12.766,12.434,12.207,12.056,11.998,12.324,12.172,12.035,11.969,11.963,11.966,11.825,11.69,11.965,11.966,11.949,11.898,14.099,13.334,12.952,12.864,12.878,13.266,12.951,12.863,12.869,12.906,12.935,13.192,12.503,12.953,13.22,12.52,21.289,16.486,844900000.0,-3.2891999999999997,0.2,DB
6250.0,7.109,12.829,-0.073,12.976,13.381,12.902,12.594,12.29,12.097,11.958,11.896,12.201,12.062,11.937,11.866,11.827,11.809,11.697,11.622,11.823,11.81,11.79,11.747,13.806,13.109,12.774,12.711,12.744,13.047,12.773,12.711,12.732,12.778,12.752,12.981,12.351,12.77,13.011,12.369,20.558,16.045,744200000.0,-3.2116,0.2,DB
6500.0,7.103,12.644,-0.075,12.707,13.157,12.719,12.434,12.155,11.994,11.867,11.807,12.087,11.96,11.845,11.777,11.72,11.691,11.605,11.564,11.714,11.692,11.671,11.637,13.536,12.9,12.608,12.568,12.617,12.845,12.608,12.569,12.604,12.659,12.582,12.785,12.21,12.599,12.816,12.228,19.874,15.636,660000000.0,-3.1376,0.2,DB
6750.0,7.098,12.466,-0.081,12.458,12.949,12.547,12.283,12.026,11.893,11.777,11.722,11.976,11.859,11.756,11.693,11.63,11.597,11.527,11.504,11.623,11.598,11.578,11.55,13.288,12.705,12.451,12.432,12.496,12.656,12.452,12.433,12.48,12.543,12.42,12.601,12.075,12.438,12.634,12.094,19.241,15.261,586200000.0,-3.0664,0.2,DB
7000.0,7.091,12.292,-0.092,12.226,12.754,12.384,12.14,11.902,11.796,11.692,11.643,11.869,11.763,11.67,11.614,11.553,11.519,11.464,11.455,11.545,11.521,11.502,11.481,13.056,12.522,12.303,12.303,12.38,12.478,12.304,12.304,12.363,12.432,12.267,12.427,11.946,12.285,12.461,11.965,18.649,14.913,520000000.0,-2.9968,0.2,DB
7500.0,7.078,11.96,-0.123,11.799,12.394,12.083,11.873,11.673,11.614,11.532,11.497,11.67,11.582,11.509,11.468,11.419,11.392,11.376,11.408,11.412,11.393,11.382,11.373,12.628,12.183,12.028,12.062,12.163,12.149,12.03,12.064,12.143,12.225,11.982,12.104,11.707,11.999,12.142,11.726,17.547,14.268,405400000.0,-2.8640000000000003,0.2,DB
8000.0,7.064,11.645,-0.169,11.418,12.073,11.814,11.634,11.465,11.447,11.383,11.361,11.488,11.416,11.359,11.333,11.297,11.28,11.284,11.311,11.293,11.28,11.275,11.274,12.248,11.881,11.781,11.844,11.966,11.854,11.783,11.847,11.943,12.037,11.724,11.814,11.49,11.74,11.855,11.51,16.569,13.694,310100000.0,-2.738,0.2,DB
8500.0,7.049,11.343,-0.232,11.081,11.788,11.575,11.42,11.279,11.296,11.248,11.239,11.324,11.265,11.224,11.212,11.194,11.19,11.21,11.205,11.192,11.189,11.194,11.203,11.911,11.613,11.562,11.65,11.79,11.593,11.565,11.653,11.764,11.867,11.493,11.556,11.296,11.51,11.599,11.317,15.748,13.189,229800000.0,-2.6172,0.2,DB
9000.0,7.031,11.05,-0.299,10.765,11.519,11.349,11.218,11.102,11.151,11.118,11.12,11.167,11.121,11.094,11.093,11.086,11.089,11.11,11.1,11.086,11.088,11.096,11.106,11.595,11.359,11.354,11.465,11.622,11.347,11.357,11.469,11.594,11.706,11.274,11.311,11.112,11.29,11.357,11.133,14.981,12.717,161900000.0,-2.5000000000000004,0.2,DB
9500.0,7.011,10.764,-0.371,10.471,11.269,11.136,11.026,10.933,11.011,10.991,11.002,11.017,10.981,10.966,10.976,10.979,10.987,11.007,10.993,10.98,10.985,10.995,11.005,11.301,11.122,11.158,11.289,11.461,11.115,11.161,11.294,11.431,11.551,11.067,11.08,10.937,11.082,11.129,10.959,14.309,12.285,105000000.0,-2.3855999999999997,0.2,DB
10000.0,6.99,10.489,-0.448,10.2,11.037,10.937,10.847,10.774,10.877,10.869,10.889,10.874,10.848,10.844,10.863,10.875,10.886,10.904,10.889,10.876,10.884,10.895,10.903,11.031,10.901,10.974,11.124,11.308,10.9,10.977,11.129,11.277,11.404,10.872,10.865,10.771,10.888,10.916,10.794,13.716,11.893,60670000.0,-2.2756000000000003,0.2,DB
11000.0,6.962,10.007,-0.604,9.757,10.656,10.611,10.552,10.513,10.658,10.669,10.702,10.639,10.63,10.643,10.677,10.704,10.722,10.738,10.724,10.707,10.72,10.733,10.739,10.589,10.54,10.673,10.853,11.059,10.547,10.677,10.858,11.025,11.163,10.552,10.512,10.501,10.567,10.566,10.524,12.741,11.244,18730000.0,-2.0827999999999998,0.2,DB
12000.0,6.945,9.586,-0.761,9.403,10.349,10.347,10.316,10.306,10.488,10.517,10.563,10.456,10.462,10.491,10.538,10.574,10.593,10.605,10.593,10.579,10.591,10.602,10.606,10.235,10.247,10.431,10.637,10.862,10.262,10.435,10.644,10.826,10.974,10.294,10.226,10.286,10.308,10.284,10.309,11.964,10.724,7338000.0,-1.9144,0.2,DB
13000.0,6.932,9.204,-0.91,9.104,10.082,10.114,10.106,10.121,10.335,10.379,10.435,10.291,10.309,10.352,10.41,10.453,10.472,10.483,10.473,10.458,10.47,10.48,10.484,9.938,9.991,10.216,10.445,10.686,10.011,10.22,10.452,10.648,10.804,10.065,9.975,10.093,10.079,10.036,10.117,11.318,10.292,3472000.0,-1.7616000000000003,0.2,DB
14000.0,6.92,8.853,-1.048,8.848,9.845,9.9,9.913,9.949,10.191,10.248,10.312,10.136,10.166,10.221,10.287,10.336,10.355,10.366,10.354,10.34,10.353,10.362,10.367,9.682,9.761,10.019,10.268,10.521,9.784,10.023,10.275,10.482,10.644,9.856,9.75,9.915,9.87,9.812,9.94,10.772,9.927,1912000.0,-1.6212,0.2,DB
15000.0,6.909,8.527,-1.177,8.626,9.632,9.704,9.735,9.789,10.052,10.121,10.191,9.987,10.027,10.093,10.167,10.219,10.238,10.246,10.227,10.224,10.236,10.245,10.249,9.461,9.552,9.837,10.102,10.366,9.577,9.841,10.11,10.326,10.492,9.665,9.546,9.75,9.678,9.609,9.774,10.303,9.614,1175000.0,-1.4907999999999997,0.2,DB
16000.0,6.9,8.222,-1.304,8.434,9.444,9.526,9.574,9.643,9.921,10.001,10.075,9.847,9.897,9.973,10.052,10.106,10.124,10.132,10.113,10.11,10.122,10.132,10.135,9.27,9.366,9.673,9.952,10.224,9.393,9.676,9.96,10.183,10.35,9.493,9.365,9.599,9.506,9.428,9.624,9.893,9.341,771800.0,-1.3687999999999998,0.2,DB
