Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,period2,period3,period4,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.00015547,-2.0,6.25,26.7661075592,2.6316940784,26.749,5.026,4.6639,4.447,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.19e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-7.794,-3.721,-3.89,-3.398,0.7091875890245875
0.00015547,-2.0,6.25,28.0,2.6318216324,27.979,5.076,4.6698,4.44,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.86e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,-7.92,-3.799,-3.969,-3.469,0.7224499077887474
0.00015547,-2.0,6.25,28.1695785522,2.6318383217,28.148,5.083,4.6705,4.439,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-3.95e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001637,-7.937,-3.809,-3.98,-3.479,0.7242575848292455
0.00015547,-2.0,6.25,30.0,2.6320033073,29.976,5.151,4.6782,4.429,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-5.09e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-8.107,-3.923,-4.095,-3.594,0.7429206536944373
0.00015547,-2.0,6.25,33.1739082336,2.6322402954,33.142,5.256,4.6897,4.413,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-7.45e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-8.371,-4.117,-4.283,-3.802,0.7727231701403465
0.00015547,-2.0,6.25,35.0,2.6323544979,34.966,5.313,4.6957,4.403,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-9.17e-09,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-8.512,-4.22,-4.384,-3.913,0.7893567902681902
0.00015547,-2.0,6.25,36.3396720886,2.6324300766,36.306,5.351,4.6995,4.397,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.04e-08,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-8.607,-4.29,-4.453,-3.987,0.8005230153096022
0.00015547,-2.0,6.25,40.0000038147,2.6326069832,39.972,5.448,4.7089,4.379,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.45e-08,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-8.85,-4.442,-4.607,-4.134,0.8304117530209677
0.00015547,-2.0,6.25,43.9443740845,2.6327600479,43.921,5.539,4.7171,4.362,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-1.98e-08,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-9.078,-4.593,-4.758,-4.28,0.8593699234702372
0.00015547,-2.0,6.25,45.0,2.6327958107,44.978,5.562,4.7191,4.357,1,0.0,0.545,0.0,0.0,0.0,0.0,0.0,-1,-2.14e-08,0.0,0.7507,0.2491,2.943e-05,7.939e-06,7.201e-05,-1.0,0.0001636,-9.135,-4.632,-4.798,-4.318,0.8670338837069875
0.00015547,-2.0,6.5,5.5999999046,2.6167888641,5.601,3.034,4.3945,4.682,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001695,-2.816,-0.308,-0.437,-0.06,0.2521665999859369
0.00015547,-2.0,6.5,5.8000001907,2.6175537109,5.801,3.084,4.4017,4.677,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001754,-2.94,-0.417,-0.548,-0.181,0.2622852463853654
0.00015547,-2.0,6.5,6.0,2.6182601452,6.0,3.132,4.4086,4.67,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-3.06,-0.499,-0.633,-0.258,0.27310943884338856
0.00015547,-2.0,6.5,6.1999998093,2.6189143658,6.2,3.178,4.4152,4.665,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-3.175,-0.578,-0.714,-0.33,0.28272965840069364
0.00015547,-2.0,6.5,6.4000000954,2.6195218563,6.399,3.223,4.4217,4.66,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001656,-3.287,-0.654,-0.792,-0.401,0.29208986873611226
0.00015547,-2.0,6.5,7.0,2.6211071014,6.996,3.348,4.4395,4.645,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001649,-3.6,-0.868,-1.011,-0.602,0.31895871405488646
0.00015547,-2.0,6.75,4.0,2.6073791981,4.001,2.554,4.3208,4.721,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.615,0.474,0.366,0.683,0.15961808934106525
0.00015547,-2.0,6.75,4.1999998093,2.6090114117,4.198,2.626,4.3321,4.716,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.795,0.36,0.248,0.575,0.1725550307747574
0.00015547,-2.0,6.75,4.3999996185,2.6104743481,4.397,2.694,4.3424,4.708,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-1.966,0.248,0.133,0.468,0.18661204646141974
0.00015547,-2.0,6.75,4.513273716,2.6112368107,4.51,2.731,4.348,4.705,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-2.059,0.187,0.071,0.41,0.19362208459054692
0.00015547,-2.0,6.75,4.5999999046,2.6117916107,4.597,2.759,4.3522,4.702,1,0.0,0.538,0.0,0.0,0.0,0.0,0.0,-1,-9.999999999999999e-31,0.0,0.7507,0.2491,2.904e-05,7.93e-06,7.202e-05,-1.0,0.0001636,-2.128,0.142,0.024,0.367,0.1992710655267215
