MH,logAge,Mini,Mass,logL,logTe,logg,label,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.0,10.0,1.0322337151,1.027,1.965,3.6305,1.958,3,-0.143,0.111,0.794,-0.689,1.245819035450206
0.0,10.0,1.0323090553,1.026,2.009,3.6275,1.902,3,-0.253,0.018,0.712,-0.789,1.2736074940394655
0.0,10.0,1.0323799849,1.026,2.054,3.6244,1.845,3,-0.366,-0.077,0.628,-0.891,1.3021074940394655
0.0,10.0,1.0324425697,1.026,2.097,3.6214,1.789,3,-0.474,-0.168,0.546,-0.989,1.3301074940394655
0.0,10.0,1.0325020552,1.025,2.142,3.6183,1.732,3,-0.585,-0.261,0.464,-1.089,1.3583957463474532
0.0,10.0,1.032553792,1.025,2.184,3.6154,1.678,3,-0.689,-0.347,0.388,-1.182,1.3853957463474533
0.0,10.0,1.0326032639,1.025,2.227,3.6122,1.623,3,-0.797,-0.436,0.309,-1.278,1.4128957463474532
0.0,10.0,1.0326488018,1.024,2.27,3.6091,1.567,3,-0.904,-0.524,0.232,-1.373,1.4406837919714728
0.0,10.0,1.0326894522,1.024,2.311,3.606,1.513,3,-1.008,-0.606,0.16,-1.463,1.4676837919714727
0.0,10.0,1.0327278376,1.023,2.353,3.6028,1.458,3,-1.113,-0.689,0.092,-1.556,1.4949716305076468
0.0,10.0,1.0327627659,1.022,2.394,3.5996,1.404,3,-1.216,-0.769,0.027,-1.646,1.5217592615509137
0.0,10.0,1.032794714,1.022,2.435,3.5964,1.35,3,-1.317,-0.845,-0.029,-1.733,1.5487592615509136
0.0,10.0,1.0328247547,1.021,2.476,3.5931,1.296,3,-1.419,-0.921,-0.085,-1.821,1.575546684695022
0.0,10.0,1.0328518152,1.02,2.515,3.5899,1.243,3,-1.519,-0.994,-0.139,-1.906,1.6018338995325254
0.0,10.0,1.0328763723,1.019,2.554,3.5866,1.191,3,-1.615,-1.06,-0.182,-1.986,1.62762090565478
0.0,10.0,1.0328998566,1.018,2.594,3.5833,1.137,3,-1.714,-1.128,-0.225,-2.067,1.6544077026519366
0.0,10.0,1.0329210758,1.017,2.632,3.58,1.086,3,-1.81,-1.193,-0.267,-2.146,1.679694290112939
0.0,10.0,1.0329406261,1.016,2.669,3.5766,1.034,3,-1.904,-1.249,-0.29,-2.218,1.705480667625517
0.0,10.0,1.0329591036,1.015,2.707,3.5732,0.982,3,-1.998,-1.304,-0.312,-2.291,1.7312668347761826
0.0,10.0,1.0329762697,1.014,2.745,3.5697,0.93,3,-2.092,-1.357,-0.329,-2.361,1.7570527911502252
0.0,10.0,1.03299582,1.012,2.79,3.5653,0.867,3,-2.205,-1.411,-0.326,-2.441,1.7881240699034568
0.0,10.0,1.033013463,1.01,2.834,3.5611,0.805,3,-2.314,-1.463,-0.321,-2.517,1.818694500542888
0.0,10.0,1.0330297947,1.008,2.877,3.5568,0.744,3,-2.423,-1.505,-0.294,-2.587,1.84876407970632
0.0,10.0,1.0330449343,1.006,2.92,3.5524,0.682,3,-2.53,-1.543,-0.256,-2.653,1.879332804011521
0.0,10.0,1.0330587626,1.004,2.962,3.5479,0.621,3,-2.635,-1.572,-0.201,-2.71,1.909400670056067
0.0,10.0,1.0330716372,1.001,3.003,3.5434,0.561,3,-2.738,-1.592,-0.126,-2.76,1.938750852391226
0.0,10.0,1.0330837965,0.998,3.044,3.5389,0.501,3,-2.841,-1.607,-0.042,-2.806,1.9680990842952524
0.0,10.0,1.0330947638,0.995,3.084,3.5344,0.441,3,-2.941,-1.609,0.072,-2.838,1.9974453540244295
0.0,10.0,1.0331050158,0.992,3.124,3.5298,0.382,3,-3.04,-1.608,0.189,-2.868,2.026289649728656
0.0,10.0,1.0331145525,0.988,3.162,3.5253,0.324,3,-3.136,-1.585,0.34,-2.875,2.054412285945381
0.0,10.0,1.033123374,0.984,3.2,3.5207,0.266,3,-3.229,-1.558,0.5,-2.877,2.0825313628672375
0.0,10.0,1.0331317186,0.979,3.237,3.516,0.208,3,-3.322,-1.505,0.701,-2.852,2.110425159553136
0.0,10.0,1.0331395864,0.974,3.274,3.5114,0.15,3,-3.414,-1.443,0.917,-2.818,2.1383132920908743
0.0,10.0,1.0331468582,0.968,3.309,3.5067,0.094,3,-3.502,-1.391,1.095,-2.79,2.1649714923057637
0.0,10.0,1.0331535339,0.962,3.343,3.5022,0.039,3,-3.588,-1.336,1.27,-2.757,2.1911213496704733
0.0,10.0,1.0331602097,0.956,3.378,3.4976,-0.017,3,-3.674,-1.278,1.44,-2.719,2.2177627597896166
0.0,10.0,1.0331654549,0.95,3.403,3.4943,-0.058,3,-3.737,-1.239,1.55,-2.693,2.2368956162959908
