MH,logAge,Mini,Mass,logL,logTe,logg,label,mbolmag,Gmag,G_BPmag,G_RPmag,logR
0.0,9.0,1.75,1.749,1.138,3.8929,4.066,1,1.924,1.828,1.924,1.649,0.3074287183909051
0.0,9.0,1.7665036917,1.765,1.159,3.894,4.053,1,1.872,1.775,1.87,1.6,0.3159061685134874
0.0,9.0,1.7961143255,1.795,1.197,3.8952,4.027,1,1.777,1.681,1.773,1.509,0.33256604010873553
0.0,9.0,1.7999998331,1.799,1.202,3.8952,4.024,1,1.764,1.668,1.76,1.497,0.33454939532434236
0.0,9.0,1.8225687742,1.821,1.231,3.8956,4.001,1,1.692,1.595,1.686,1.425,0.34868878654902646
0.0,9.0,1.8500000238,1.849,1.266,3.8954,3.972,1,1.604,1.506,1.597,1.337,0.3665022692311532
0.0,9.0,1.8551180363,1.854,1.273,3.8953,3.966,1,1.588,1.49,1.58,1.321,0.37008867855580574
0.0,9.0,1.8823248148,1.881,1.307,3.8942,3.934,1,1.502,1.402,1.493,1.231,0.38922821142675607
0.0,9.0,1.8999999762,1.899,1.329,3.8927,3.91,1,1.447,1.344,1.437,1.17,0.4032962960200754
0.0,9.0,1.914989233,1.914,1.348,3.8914,3.89,1,1.4,1.295,1.39,1.119,0.4150047803719791
0.0,9.0,1.9452923536,1.945,1.386,3.8872,3.842,1,1.306,1.196,1.296,1.01,0.44249361648242996
0.0,9.0,1.9500000477,1.95,1.391,3.8863,3.834,1,1.292,1.181,1.282,0.993,0.44705111933282565
0.0,9.0,1.9707071781,1.971,1.416,3.8823,3.797,1,1.229,1.114,1.221,0.916,0.46787712579128826
0.0,9.0,1.9972145557,1.997,1.448,3.8752,3.744,1,1.151,1.029,1.146,0.815,0.4972228460869179
0.0,9.0,2.0,2.0,1.451,3.8743,3.737,1,1.143,1.021,1.139,0.804,0.5010488114835573
0.0,9.0,2.0167865753,2.017,1.47,3.8685,3.698,1,1.094,0.967,1.094,0.736,0.5223867627579495
0.0,9.0,2.03734231,2.037,1.494,3.8603,3.646,1,1.036,0.903,1.042,0.652,0.5505293281516488
0.0,9.0,2.0499999523,2.05,1.508,3.8545,3.612,1,1.0,0.865,1.013,0.6,0.5689107441794438
0.0,9.0,2.0582773685,2.058,1.517,3.8506,3.589,1,0.977,0.84,0.995,0.566,0.5812564988647738
0.0,9.0,2.0722019672,2.071,1.533,3.843,3.546,1,0.938,0.798,0.965,0.506,0.604123863098293
0.0,9.0,2.0884654522,2.087,1.555,3.8357,3.498,1,0.883,0.741,0.92,0.431,0.6297950381842937
0.0,9.0,2.0959124565,2.095,1.567,3.8332,3.477,1,0.854,0.711,0.894,0.395,0.6411258273027238
0.0,9.0,2.0999999046,2.099,1.581,3.8373,3.48,1,0.816,0.674,0.85,0.368,0.640040032942767
0.0,9.0,2.1018009186,2.101,1.588,3.8392,3.481,1,0.8,0.658,0.83,0.357,0.6397468398545431
0.0,9.0,2.1052856445,2.104,1.61,3.8485,3.497,1,0.746,0.605,0.762,0.328,0.6320566813924176
0.0,9.0,2.1066298485,2.106,1.629,3.8584,3.518,1,0.698,0.56,0.701,0.308,0.6217629970763007
0.0,9.0,2.1073169708,2.106,1.648,3.8683,3.539,1,0.65,0.517,0.642,0.291,0.6112629970763005
0.0,9.0,2.1077182293,2.107,1.668,3.8782,3.558,1,0.599,0.472,0.581,0.272,0.6018660814556169
0.0,9.0,2.1079645157,2.107,1.691,3.8878,3.574,1,0.542,0.423,0.517,0.249,0.5938660814556169
0.0,9.0,2.1081302166,2.107,1.714,3.8969,3.587,1,0.484,0.374,0.454,0.224,0.5873660814556168
0.0,9.0,2.1082367897,2.107,1.725,3.9018,3.596,1,0.457,0.354,0.427,0.217,0.5828660814556168
0.0,9.0,2.1082985401,2.107,1.701,3.8969,3.601,2,0.518,0.409,0.489,0.259,0.5803660814556169
0.0,9.0,2.1083569527,2.107,1.674,3.8894,3.597,2,0.585,0.468,0.559,0.297,0.5823660814556169
0.0,9.0,2.1084122658,2.107,1.657,3.8804,3.578,2,0.628,0.503,0.609,0.308,0.5918660814556169
