file_name,Te,logg
da05000_650.dk.dat.txt,5000,6.5
da05000_675.dk.dat.txt,5000,6.75
da05000_700.dk.dat.txt,5000,7.0
da05000_725.dk.dat.txt,5000,7.25
da05000_750.dk.dat.txt,5000,7.5
da05000_775.dk.dat.txt,5000,7.75
da05000_800.dk.dat.txt,5000,8.0
da05000_825.dk.dat.txt,5000,8.25
da05000_850.dk.dat.txt,5000,8.5
da05000_875.dk.dat.txt,5000,8.75
da05000_900.dk.dat.txt,5000,9.0
da05000_925.dk.dat.txt,5000,9.25
da05000_950.dk.dat.txt,5000,9.5
da05250_650.dk.dat.txt,5250,6.5
da05250_675.dk.dat.txt,5250,6.75
da05250_700.dk.dat.txt,5250,7.0
da05250_725.dk.dat.txt,5250,7.25
da05250_750.dk.dat.txt,5250,7.5
da05250_775.dk.dat.txt,5250,7.75
da05250_800.dk.dat.txt,5250,8.0
da05250_825.dk.dat.txt,5250,8.25
da05250_850.dk.dat.txt,5250,8.5
da05250_875.dk.dat.txt,5250,8.75
da05250_900.dk.dat.txt,5250,9.0
da05250_925.dk.dat.txt,5250,9.25
da05250_950.dk.dat.txt,5250,9.5
da05500_650.dk.dat.txt,5500,6.5
da05500_675.dk.dat.txt,5500,6.75
da05500_700.dk.dat.txt,5500,7.0
da05500_725.dk.dat.txt,5500,7.25
da05500_750.dk.dat.txt,5500,7.5
da05500_775.dk.dat.txt,5500,7.75
da05500_800.dk.dat.txt,5500,8.0
da05500_825.dk.dat.txt,5500,8.25
da05500_850.dk.dat.txt,5500,8.5
da05500_875.dk.dat.txt,5500,8.75
da05500_900.dk.dat.txt,5500,9.0
da05500_925.dk.dat.txt,5500,9.25
da05500_950.dk.dat.txt,5500,9.5
da05750_650.dk.dat.txt,5750,6.5
da05750_675.dk.dat.txt,5750,6.75
da05750_700.dk.dat.txt,5750,7.0
da05750_725.dk.dat.txt,5750,7.25
da05750_750.dk.dat.txt,5750,7.5
da05750_775.dk.dat.txt,5750,7.75
da05750_800.dk.dat.txt,5750,8.0
da05750_825.dk.dat.txt,5750,8.25
da05750_850.dk.dat.txt,5750,8.5
da05750_875.dk.dat.txt,5750,8.75
da05750_900.dk.dat.txt,5750,9.0
da05750_925.dk.dat.txt,5750,9.25
da05750_950.dk.dat.txt,5750,9.5
da06000_650.dk.dat.txt,6000,6.5
da06000_675.dk.dat.txt,6000,6.75
da06000_700.dk.dat.txt,6000,7.0
da06000_725.dk.dat.txt,6000,7.25
da06000_750.dk.dat.txt,6000,7.5
da06000_775.dk.dat.txt,6000,7.75
da06000_800.dk.dat.txt,6000,8.0
da06000_825.dk.dat.txt,6000,8.25
da06000_850.dk.dat.txt,6000,8.5
da06000_875.dk.dat.txt,6000,8.75
da06000_900.dk.dat.txt,6000,9.0
da06000_925.dk.dat.txt,6000,9.25
da06000_950.dk.dat.txt,6000,9.5
da06250_650.dk.dat.txt,6250,6.5
da06250_675.dk.dat.txt,6250,6.75
da06250_700.dk.dat.txt,6250,7.0
da06250_725.dk.dat.txt,6250,7.25
da06250_750.dk.dat.txt,6250,7.5
da06250_775.dk.dat.txt,6250,7.75
da06250_800.dk.dat.txt,6250,8.0
da06250_825.dk.dat.txt,6250,8.25
da06250_850.dk.dat.txt,6250,8.5
da06250_875.dk.dat.txt,6250,8.75
da06250_900.dk.dat.txt,6250,9.0
da06250_925.dk.dat.txt,6250,9.25
da06250_950.dk.dat.txt,6250,9.5
da06500_650.dk.dat.txt,6500,6.5
da06500_675.dk.dat.txt,6500,6.75
da06500_700.dk.dat.txt,6500,7.0
da06500_725.dk.dat.txt,6500,7.25
da06500_750.dk.dat.txt,6500,7.5
da06500_775.dk.dat.txt,6500,7.75
da06500_800.dk.dat.txt,6500,8.0
da06500_825.dk.dat.txt,6500,8.25
da06500_850.dk.dat.txt,6500,8.5
da06500_875.dk.dat.txt,6500,8.75
da06500_900.dk.dat.txt,6500,9.0
da06500_925.dk.dat.txt,6500,9.25
da06500_950.dk.dat.txt,6500,9.5
da06750_650.dk.dat.txt,6750,6.5
da06750_675.dk.dat.txt,6750,6.75
da06750_700.dk.dat.txt,6750,7.0
da06750_725.dk.dat.txt,6750,7.25
da06750_750.dk.dat.txt,6750,7.5
da06750_775.dk.dat.txt,6750,7.75
da06750_800.dk.dat.txt,6750,8.0
da06750_825.dk.dat.txt,6750,8.25
da06750_850.dk.dat.txt,6750,8.5
da06750_875.dk.dat.txt,6750,8.75
da06750_900.dk.dat.txt,6750,9.0
da06750_925.dk.dat.txt,6750,9.25
da06750_950.dk.dat.txt,6750,9.5
da07000_650.dk.dat.txt,7000,6.5
da07000_675.dk.dat.txt,7000,6.75
da07000_700.dk.dat.txt,7000,7.0
da07000_725.dk.dat.txt,7000,7.25
da07000_750.dk.dat.txt,7000,7.5
da07000_775.dk.dat.txt,7000,7.75
da07000_800.dk.dat.txt,7000,8.0
da07000_825.dk.dat.txt,7000,8.25
da07000_850.dk.dat.txt,7000,8.5
da07000_875.dk.dat.txt,7000,8.75
da07000_900.dk.dat.txt,7000,9.0
da07000_925.dk.dat.txt,7000,9.25
da07000_950.dk.dat.txt,7000,9.5
da07250_650.dk.dat.txt,7250,6.5
da07250_675.dk.dat.txt,7250,6.75
da07250_700.dk.dat.txt,7250,7.0
da07250_725.dk.dat.txt,7250,7.25
da07250_750.dk.dat.txt,7250,7.5
da07250_775.dk.dat.txt,7250,7.75
da07250_800.dk.dat.txt,7250,8.0
da07250_825.dk.dat.txt,7250,8.25
da07250_850.dk.dat.txt,7250,8.5
da07250_875.dk.dat.txt,7250,8.75
da07250_900.dk.dat.txt,7250,9.0
da07250_925.dk.dat.txt,7250,9.25
da07250_950.dk.dat.txt,7250,9.5
da07500_650.dk.dat.txt,7500,6.5
da07500_675.dk.dat.txt,7500,6.75
da07500_700.dk.dat.txt,7500,7.0
da07500_725.dk.dat.txt,7500,7.25
da07500_750.dk.dat.txt,7500,7.5
da07500_775.dk.dat.txt,7500,7.75
da07500_800.dk.dat.txt,7500,8.0
da07500_825.dk.dat.txt,7500,8.25
da07500_850.dk.dat.txt,7500,8.5
da07500_875.dk.dat.txt,7500,8.75
da07500_900.dk.dat.txt,7500,9.0
da07500_925.dk.dat.txt,7500,9.25
da07500_950.dk.dat.txt,7500,9.5
da07750_650.dk.dat.txt,7750,6.5
da07750_675.dk.dat.txt,7750,6.75
da07750_700.dk.dat.txt,7750,7.0
da07750_725.dk.dat.txt,7750,7.25
da07750_750.dk.dat.txt,7750,7.5
da07750_775.dk.dat.txt,7750,7.75
da07750_800.dk.dat.txt,7750,8.0
da07750_825.dk.dat.txt,7750,8.25
da07750_850.dk.dat.txt,7750,8.5
da07750_875.dk.dat.txt,7750,8.75
da07750_900.dk.dat.txt,7750,9.0
da07750_925.dk.dat.txt,7750,9.25
da07750_950.dk.dat.txt,7750,9.5
da08000_650.dk.dat.txt,8000,6.5
da08000_675.dk.dat.txt,8000,6.75
da08000_700.dk.dat.txt,8000,7.0
da08000_725.dk.dat.txt,8000,7.25
da08000_750.dk.dat.txt,8000,7.5
da08000_775.dk.dat.txt,8000,7.75
da08000_800.dk.dat.txt,8000,8.0
da08000_825.dk.dat.txt,8000,8.25
da08000_850.dk.dat.txt,8000,8.5
da08000_875.dk.dat.txt,8000,8.75
da08000_900.dk.dat.txt,8000,9.0
da08000_925.dk.dat.txt,8000,9.25
da08000_950.dk.dat.txt,8000,9.5
da08250_650.dk.dat.txt,8250,6.5
da08250_675.dk.dat.txt,8250,6.75
da08250_700.dk.dat.txt,8250,7.0
da08250_725.dk.dat.txt,8250,7.25
da08250_750.dk.dat.txt,8250,7.5
da08250_775.dk.dat.txt,8250,7.75
da08250_800.dk.dat.txt,8250,8.0
da08250_825.dk.dat.txt,8250,8.25
da08250_850.dk.dat.txt,8250,8.5
da08250_875.dk.dat.txt,8250,8.75
da08250_900.dk.dat.txt,8250,9.0
da08250_925.dk.dat.txt,8250,9.25
da08250_950.dk.dat.txt,8250,9.5
da08500_650.dk.dat.txt,8500,6.5
da08500_675.dk.dat.txt,8500,6.75
da08500_700.dk.dat.txt,8500,7.0
da08500_725.dk.dat.txt,8500,7.25
da08500_750.dk.dat.txt,8500,7.5
da08500_775.dk.dat.txt,8500,7.75
da08500_800.dk.dat.txt,8500,8.0
da08500_825.dk.dat.txt,8500,8.25
da08500_850.dk.dat.txt,8500,8.5
da08500_875.dk.dat.txt,8500,8.75
da08500_900.dk.dat.txt,8500,9.0
da08500_925.dk.dat.txt,8500,9.25
da08500_950.dk.dat.txt,8500,9.5
da08750_650.dk.dat.txt,8750,6.5
da08750_675.dk.dat.txt,8750,6.75
da08750_700.dk.dat.txt,8750,7.0
da08750_725.dk.dat.txt,8750,7.25
da08750_750.dk.dat.txt,8750,7.5
da08750_775.dk.dat.txt,8750,7.75
da08750_800.dk.dat.txt,8750,8.0
da08750_825.dk.dat.txt,8750,8.25
da08750_850.dk.dat.txt,8750,8.5
da08750_875.dk.dat.txt,8750,8.75
da08750_900.dk.dat.txt,8750,9.0
da08750_925.dk.dat.txt,8750,9.25
da08750_950.dk.dat.txt,8750,9.5
da09000_650.dk.dat.txt,9000,6.5
da09000_675.dk.dat.txt,9000,6.75
da09000_700.dk.dat.txt,9000,7.0
da09000_725.dk.dat.txt,9000,7.25
da09000_750.dk.dat.txt,9000,7.5
da09000_775.dk.dat.txt,9000,7.75
da09000_800.dk.dat.txt,9000,8.0
da09000_825.dk.dat.txt,9000,8.25
da09000_850.dk.dat.txt,9000,8.5
da09000_875.dk.dat.txt,9000,8.75
da09000_900.dk.dat.txt,9000,9.0
da09000_925.dk.dat.txt,9000,9.25
da09000_950.dk.dat.txt,9000,9.5
da09250_650.dk.dat.txt,9250,6.5
da09250_675.dk.dat.txt,9250,6.75
da09250_700.dk.dat.txt,9250,7.0
da09250_725.dk.dat.txt,9250,7.25
da09250_750.dk.dat.txt,9250,7.5
da09250_775.dk.dat.txt,9250,7.75
da09250_800.dk.dat.txt,9250,8.0
da09250_825.dk.dat.txt,9250,8.25
da09250_850.dk.dat.txt,9250,8.5
da09250_875.dk.dat.txt,9250,8.75
da09250_900.dk.dat.txt,9250,9.0
da09250_925.dk.dat.txt,9250,9.25
da09250_950.dk.dat.txt,9250,9.5
da09500_650.dk.dat.txt,9500,6.5
da09500_675.dk.dat.txt,9500,6.75
da09500_700.dk.dat.txt,9500,7.0
da09500_725.dk.dat.txt,9500,7.25
da09500_750.dk.dat.txt,9500,7.5
da09500_775.dk.dat.txt,9500,7.75
da09500_800.dk.dat.txt,9500,8.0
da09500_825.dk.dat.txt,9500,8.25
da09500_850.dk.dat.txt,9500,8.5
da09500_875.dk.dat.txt,9500,8.75
da09500_900.dk.dat.txt,9500,9.0
da09500_925.dk.dat.txt,9500,9.25
da09500_950.dk.dat.txt,9500,9.5
da09750_650.dk.dat.txt,9750,6.5
da09750_675.dk.dat.txt,9750,6.75
da09750_700.dk.dat.txt,9750,7.0
da09750_725.dk.dat.txt,9750,7.25
da09750_750.dk.dat.txt,9750,7.5
da09750_775.dk.dat.txt,9750,7.75
da09750_800.dk.dat.txt,9750,8.0
da09750_825.dk.dat.txt,9750,8.25
da09750_850.dk.dat.txt,9750,8.5
da09750_875.dk.dat.txt,9750,8.75
